date;day;average;median;deviation;soften;returns
20211212;1199;1.429821429;1.35;0.293063266;1.361254937;-0.012633588
20211213;1200;1.921313636;1.55095;1.427259623;1.430292485;0.050716105
20211214;1201;1.54556;1.3;0.735169713;1.36384914;-0.046454376
20211215;1202;1.309405882;1.2;0.211102169;1.331380542;-0.023806591
20211216;1203;1.484066667;1.295;0.613211611;1.330076561;-0.00097942
20211217;1204;1.404835294;1.33;0.319207748;1.330485701;0.000307606
20211218;1205;1.624371429;1.52;0.470807154;1.393520754;0.047377475
20211219;1206;1.3504;1.23;0.3500926;1.318002152;-0.054192664
20211220;1207;1.344511538;1.294;0.297256097;1.335174302;0.013028924
20211221;1208;1.47533;1.3;0.383762756;1.317725484;-0.013068569
20211222;1209;1.496134783;1.3311;0.398572772;1.327999929;0.007797105
20211223;1210;1.7574125;1.47;0.979601018;1.371908471;0.033063663
20211224;1211;1.500825;1.415;0.344045695;1.371636133;-0.00019851
20211225;1212;1.558533333;1.45;0.639858652;1.397848201;0.019110074
20211226;1213;1.934916667;1.935;0.563906094;1.568161445;0.121839584
20211227;1214;1.825954167;1.42;1.175648712;1.462003215;-0.067695982
20211228;1215;1.831729348;1.64;0.810531489;1.556721553;0.064786682
20211229;1216;2.058382979;1.79;1.085543424;1.602908256;0.029669213
20211230;1217;2.226634545;1.84;1.383571932;1.66654327;0.039699723
20211231;1218;2.011313489;1.75;0.675114436;1.673150509;0.003964637
20220101;1219;2.345064875;2;1.562452923;1.779897926;0.063800248
20220102;1220;2.5302845;2;1.86652588;1.817682812;0.021228681
20220103;1221;2.28912439;1.995;0.704882583;1.864193579;0.025587945
20220104;1222;2.461116949;2.1945;0.794292994;1.95879213;0.050745026
20220105;1223;2.802082353;2.5;0.877383803;2.5;0.276296735
20220106;1224;3.270080952;2.95;1.220211373;2.95;0.18
20220107;1225;3.584966667;3.25;1.405388315;3.25;0.101694915
20220108;1226;3.952326316;3.52495;1.84337278;3.52495;0.0846
20220109;1227;4.699523223;3.95;2.244965399;3.95;0.120583271
20220110;1228;4.783583333;3.65;2.953191313;3.708316667;-0.061185654
20220111;1229;4.834633929;4;1.721406671;4;0.078656533
20220112;1230;5.391235952;4.44;2.555161012;4.44;0.11
20220113;1231;6.242189281;5.15;3.557028253;5.15;0.15990991
20220114;1232;7.281838519;6.9;2.168604739;6.9;0.339805825
20220115;1233;6.707381489;6.29;1.430335579;6.113333333;-0.114009662
20220116;1234;8.644386685;6.7;3.93428129;6.571111111;0.074881861
20220117;1235;7.468704167;6.89;1.779405948;6.524814815;-0.007045429
20220118;1236;7.213335022;6;3.852131783;6.365308642;-0.024446084
20220119;1237;7.67858155;6.85;4.03582945;6.580041152;0.033734815
20220120;1238;10.00942934;5.86655;8.796578773;6.270633265;-0.047022181
20220121;1239;5.949603704;5;2.202377738;5.950224806;-0.051096667
20220122;1240;6.156825;4.745;2.768066166;5.655286023;-0.04956767
20220123;1241;5.728838889;4.785;1.932826823;5.46350361;-0.033912063
20220124;1242;5.345;5.5;0.50486797;5.539596544;0.013927498
20220125;1243;6.304736842;5.4;1.807611587;5.467700051;-0.012978652
20220126;1244;5.829772727;5.2;2.423725231;5.402432199;-0.011936985
20220127;1245;6.087058824;4.98;1.895991709;5.283377417;-0.022037256
20220128;1246;7.600809524;5;5.858497057;5.228603205;-0.010367272
20220129;1247;5.567954545;5.275;2.444597863;5.262326874;0.006449843
20220130;1248;6.331647059;5.399;1.677598281;5.29664336;0.006521162
20220131;1249;6.512090909;5.975;2.36210983;5.511323411;0.04053134
20220201;1250;6.427272727;5.5;1.648909281;5.435988924;-0.013669038
20220202;1251;6.63625;5.7;1.905195965;5.549104112;0.020808576
20220203;1252;6.376315789;5.39;1.829742576;5.458364345;-0.016352147
20220204;1253;5.374673044;5.2;0.840564551;5.402489486;-0.010236557
20220205;1254;6.35449375;5.135;3.114253699;5.331951277;-0.013056612
20220206;1255;5.161122222;4.5;1.46325257;5.078146921;-0.047600652
20220207;1256;7.073136364;5.125;4.529807547;5.178366066;0.019735377
20220208;1257;5.3653055;4.2;2.134898888;4.818837662;-0.069428928
20220209;1258;5.298333333;4;2.042729161;4.665734576;-0.031771787
20220210;1259;4.936784211;4.6;1.433124646;4.694857413;0.006241855
20220211;1260;4.43785;4.2144;0.829384493;4.52499733;-0.03618003
20220212;1261;5.365;5.345;1.357379829;4.854951581;0.07291811
20220213;1262;6.7135;5.25;4.804036981;4.876649637;0.004469263
20220214;1263;6.028666667;4.99;1.975842918;4.907200406;0.006264705
20220215;1264;6.977333267;7.57;2.740853599;5.784616681;0.178801802
20220216;1265;5.291666667;4.55;1.361288383;5.080605696;-0.121703999
20220217;1266;6.4445;5.15;2.403332062;5.338407459;0.050742329
20220218;1267;5.10763;4.25;1.900073786;4.889671051;-0.084058104
20220219;1268;5.449166667;4.2575;2.129526747;4.82852617;-0.012504907
20220220;1269;6.025555556;4.3;3.090582919;4.672732407;-0.032265283
20220221;1270;5.899166667;5;2.227622986;4.833752859;0.034459592
20220222;1271;5.176;4.45;1.357250898;4.652161755;-0.037567312
20220223;1272;5.086176471;3.85;2.340073135;4.445304872;-0.04446468
20220224;1273;4.669573684;4.19;1.681639167;4.429155542;-0.003632896
20220225;1274;5.626566667;4.6944;2.103065209;4.522953471;0.021177384
20220226;1275;5.488166667;4.92;2.12063485;4.624036338;0.022348863
20220227;1276;4.168544444;3.6;1.095670146;4.248996603;-0.081106572
20220228;1277;4.421818182;3.47;1.477868859;4.114344314;-0.031690374
20220301;1278;3.814285714;3.45;1.114194135;3.937780306;-0.042914252
20220302;1279;3.82;3.5;0.843252631;3.850708206;-0.022111975
20220303;1280;3.389;3.3;0.416243118;3.696162837;-0.040134272
20220304;1281;5.242190909;5.5;1.958439869;4.348957015;0.17661402
20220305;1282;3.362272727;3.45;0.630058201;3.831706617;-0.118936654
20220306;1283;4.015483333;3.8445;1.369613868;4.008387877;0.046110331
20220307;1284;3.911666667;3.42;1.145858271;3.753364832;-0.063622347
20220308;1285;3.445259259;2.995;0.985161866;3.585584236;-0.044701382
20220309;1286;4.28419025;3.665;2.474932706;3.667983023;0.022980575
20220310;1287;3.663571429;3.3;1.08589989;3.517855753;-0.040929107
20220311;1288;3.21;3.1;0.356854949;3.428612925;-0.02536853
20220312;1289;4.191538462;3.95;1.099673028;3.632156226;0.059366078
20220313;1290;3.7375;3.025;1.441859332;3.36192305;-0.074400207
20220314;1291;3.5475;3.365;0.74477727;3.453026425;0.02709859
20220315;1292;4.26505;4.26505;2.100036429;3.693333159;0.069593077
20220316;1293;3.526666667;3.38;0.41968242;3.508786528;-0.049967502
20220317;1294;4.533333333;5;0.87532851;4.067373229;0.159196547
20220318;1295;3.547857143;3.175;0.874688328;3.583719919;-0.118910482
20220319;1296;3.795326667;3.35;1.56989168;3.667031049;0.02324711
20220320;1297;3.793428571;3.214;1.065738726;3.488250323;-0.048753535
20220321;1298;3.422857143;3.33;0.377434952;3.495093791;0.001961863
20220322;1299;3.732375;3.4;1.376126856;3.461114704;-0.009721938
20220323;1300;4.797857143;4.44;1.939465345;3.798736165;0.09754703
20220324;1301;4.34749875;3.84;1.430792635;3.69995029;-0.026004932
20220325;1302;4.2245;4.2245;1.662408043;3.907728818;0.056157114
20220326;1303;3.457142857;2.8;1.837214506;3.469226369;-0.112214145
20220327;1304;3.965083333;4.1;0.961143775;3.825651729;0.102739148
20220328;1305;3.549714286;3.3;0.660404349;3.531626033;-0.076856368
20220329;1306;3.896871429;2.995;2.056305975;3.450759254;-0.022897888
20220330;1307;4.884146154;3.39;3.459090814;3.457461762;0.001942329
20220331;1308;3.616666667;2.89;1.284691922;3.266073672;-0.055355085
20220401;1309;3.706111111;3.325;0.9540695;3.349511811;0.025546925
20220402;1310;3.274222222;3;0.82134977;3.205195161;-0.043085876
20220403;1311;3.80875;2.925;1.918053138;3.159902324;-0.01413107
20220404;1312;2.959411765;2.88;0.501665608;3.081699162;-0.024748601
20220405;1313;4.1546;4;1.168134765;3.413867162;0.10778729
20220406;1314;4.478166667;4.05;1.757425097;3.515188775;0.029679424
20220407;1315;4.696814265;3.975;1.346054578;3.634685312;0.033994344
20220408;1316;4.884;4;1.812104179;3.716624696;0.022543735
20220409;1317;5.467142857;4.75;2.62675157;4.033770003;0.085331539
20220410;1318;8.426666667;4.08;7.598034834;3.943464899;-0.022387271
20220411;1319;3.804542857;3.0621;1.868811389;3.679778301;-0.066866729
20220412;1320;3.9306;3.58;1.022998925;3.7344144;0.014847661
20220413;1321;4.056363636;3.65;1.293168765;3.688064234;-0.012411629
20220414;1322;4.27375;3.875;1.05678674;3.765826211;0.021084768
20220415;1323;4.964428571;5;1.410817949;4.151296815;0.102360168
20220417;1325;3.706792857;3.59;0.699122726;3.835707675;-0.07602182
20220418;1326;4.321327778;3.944;1.161278876;3.977001497;0.036836441
20220419;1327;4.3934;3.9104;1.356387165;3.907703057;-0.017424796
20220420;1328;4.764444444;4.39;1.854852495;4.091568185;0.04705197
20220421;1329;4.076766667;3.74975;1.443124716;3.916340414;-0.042826555
20220422;1330;3.94611;3.9;0.81427281;3.969302866;0.013523455
20220423;1331;4.266483333;3.4;1.90026213;3.761881093;-0.052256474
20220424;1332;4.221855556;3.25;2.037417112;3.660394653;-0.026977578
20220425;1333;3.44452;2.87;1.421627663;3.430758582;-0.062735331
20220426;1334;3.384939525;3.0385;0.802757283;3.376551078;-0.015800443
20220427;1335;3.384632;3.156;0.875369122;3.32110322;-0.016421448
20220428;1336;3.60925;3.075;1.057189772;3.257551433;-0.019135746
20220429;1337;3.482703667;3.2;0.718615021;3.259551551;0.000613994
20220430;1338;3.50590176;3.4;0.727780545;3.305700995;0.014158219
20220501;1339;3.881787;3.3885;0.939213196;3.317917515;0.003695592
20220502;1340;4.064230769;3.395;1.057417936;3.339539503;0.006516735
20220503;1341;3.418333333;3.325;0.537689636;3.327485673;-0.003609429
20220504;1342;4.201666667;3.195;2.756304894;3.287341725;-0.012064349
20220505;1343;5.9;5.9;0;4.171609133;0.268991629
20220506;1344;3.754875;3.225;1.528450761;3.561316953;-0.146296587
20220507;1345;4.03;3.3;1.20913192;3.677642028;0.0326635
20220508;1346;3.6275;3.305;0.860673186;3.514652994;-0.044318896
20220509;1347;2.595207353;2.440524995;0.630749249;3.210940006;-0.086413364
20220510;1348;2.672288929;2.36;0.795675782;3.028531;-0.0568086
20220511;1349;2.594;2.5;0.375445402;2.913157002;-0.038095697
20220512;1350;2.341702703;1.93;0.751502231;2.623896001;-0.099294683
20220513;1351;2.669388889;2.265;1.012801423;2.600684334;-0.00884626
20220514;1352;3.5046625;2.37;3.190071612;2.531526778;-0.026592061
20220515;1353;3.174970167;2.74;1.341893785;2.624070371;0.036556434
20220516;1354;3.755;3.675;1.162368272;2.943532383;0.121742929
20220517;1355;3.1425;3.165;0.74611773;2.910867585;-0.011097143
20220518;1356;3.368;2.78;0.946873804;2.878133323;-0.011245535
20220519;1357;4.433769231;3.03;4.724324258;2.939666969;0.021379707
20220520;1358;3.16405;3.085;0.74730656;2.967600097;0.00950214
20220521;1359;3.149616667;2.635;0.969233653;2.847422355;-0.040496609
20220523;1361;3.032;2.39;1.18189255;2.735007484;-0.039479521
20220524;1362;2.9125;2.775;0.400780489;2.785809947;0.01857489
20220525;1363;3.120377778;2.99;0.453184603;2.836939144;0.01835344
20220526;1364;3.783853846;3.5;1.100499702;3.040916363;0.071900457
20220527;1365;2.614385714;2.6;0.397234286;2.825951836;-0.070690707
20220528;1366;2.7649;2.505;0.578098502;2.790622733;-0.012501665
20220529;1367;3.30375;3.1375;1.152268596;2.918024856;0.045653653
20220530;1368;2.631;2.45;0.589565754;2.719549196;-0.068017124
20220531;1369;2.343157895;2.1;0.439027367;2.579191351;-0.051610703
20220601;1370;3.004285714;2.735;0.755825726;2.677913516;0.038276402
20220602;1371;3.261428571;3.5;0.453336835;2.919034956;0.090040787
20220603;1372;2.5228;2.2;0.612943064;2.598982824;-0.109643131
20220604;1373;2.506986667;2.47;0.375038026;2.662672593;0.024505652
20220605;1374;3.943333333;3.25;1.812355741;2.837218472;0.065552888
20220606;1375;2.7897;2.815;0.383218548;2.771630355;-0.023117049
20220607;1376;3.035833333;2.85;0.685816423;2.819616276;0.017313247
20220608;1377;3.063333333;2.8;0.637207449;2.79708221;-0.007991891
20220609;1378;3.302130435;2.99;0.68492125;2.868899495;0.025675786
20220610;1379;3.656151469;3.45;0.558010299;3.038660569;0.05917289
20220611;1380;3.938085714;3.1189;2.667655801;3.008820021;-0.009820296
20220612;1381;3.443873575;3.1395;0.900135371;3.062326863;0.017783331
20220613;1382;3.321764706;3.2;0.587252451;3.090382295;0.009161475
20220614;1383;3.334;2.7;0.951908609;2.950903053;-0.045133329
20220615;1384;3.244631579;2.75;1.47770194;2.930428449;-0.00693842
20220616;1385;3.148529412;2.85;0.633057473;2.910443834;-0.006819691
20220617;1386;3.442325;3.29;0.580843511;3.043624094;0.045759433
20220618;1387;3.789083333;3.399;1.180127919;3.117689309;0.024334547
20220619;1388;4.19300625;3.89;1.79936162;3.350437801;0.074654165
